id,type,events,start_date,end_date,translated_text
1034_appt,干部任免,全会批准了中顾委第一次全会选举产生的主任:陈云;副主任:薄一波、宋任穷。全会还批准了中纪委第一次全会选举产生的书记:乔石;副书记:陈作霖、李正亭、萧洪达。,1987-11-02,1987-11-02,"On the 2nd, the first plenary session of the 13th Central Committee of the Communist Party of China was held in Beijing. 173 members of the Central Committee and 106 alternate members of the Central Committee attended the meeting. Members of the Central Advisory Committee and the Central Commission for Discipline Inspection attended the meeting. The plenary session elected members and alternate members of the Political Bureau of the Central Committee, members of the Standing Committee of the Political Bureau of the Central Committee, and the General Secretary of the Central Committee; approved the Secretary and Alternate Secretary of the Central Secretariat based on the nomination of the Standing Committee of the Political Bureau of the Central Committee; and decided on the Chairman, First Vice Chairman, and Executive Vice Chairman of the Central Military Commission. The list is as follows: Members of the Political Bureau of the Central Committee: Wan Li, Tian Jiyun, Qiao Shi, Jiang Zemin, Li Peng, Li Tieying, Li Ruihuan, Li Ximing, Yang Rudai, Yang Shangkun, Wu Xueqian, Song Ping, Zhao Ziyang, Hu Qili, Hu Yaobang, Yao Yilin, Qin Jiwei; Alternate member of the Political Bureau of the Central Committee: Ding Guangen. Members of the Standing Committee of the Political Bureau of the Central Committee: Zhao Ziyang, Li Peng, Qiao Shi, Hu Qili, Yao Yilin. General Secretary of the Central Committee: Zhao Ziyang.
Secretaries of the Central Secretariat: Hu Qili, Qiao Shi, Rui Xingwen, Yan Mingfu; Alternate Secretary: Wen Jiabao.
Chairman of the Central Military Commission: Deng Xiaoping; First Vice Chairman: Zhao Ziyang; Executive Vice Chairman: Yang Shangkun.
The Plenary Session approved the Director elected at the First Plenary Session of the Central Advisory Commission: Chen Yun; Vice Directors: Bo Yibo and Song Renqiong.
The Plenary Session also approved the Secretary elected at the First Plenary Session of the Central Commission for Discipline Inspection: Qiao Shi; Vice Secretaries: Chen Zuolin, Li Zhengting, and Xiao Hongda."
1035,组织工作,"3日 党中央、国务院决定,今明两年将抽调50多万名干
部充实政法综合管理经济监督部门,这些干部主要从现有干部中
调剂解决。中央办公厅、国务院办公厅通知各地认真做好调整干
部结构工作。
中共中央组织部和劳动人事部在《关于调整干部结构的意
见》中指出,为了有利于调整干部结构,对自愿到政法、税务等.
需要加強的部门工作的所有在编干部,只要条件适合,流向合
理,都应支持和放行。要严格控制从社会上招收干部,对于某些
部门所属的县及县以下基层单位,从在职干部调整解决确有困
难的,可以从社会上少量招收,但必须按照先调整,后招收的原
则进行。上述增加干部的来源,从党政群机关及部分事业单位调
整的,不得少于增加干部总数的30%;从社会上招收的,不得
超过增加干部总数的20%。为控制党政机关人员的增长,对调
出干部的专业经济管理部门实行抽人减编,特别是职能正在转变
的部门,要适当多抽一些人员,多减一些编制,同时要相应核减
工资总额和行政经费。超编单位调出干部后,一律不予补充。",1987-11-03,1987-11-03,"On the 3rd, the Party Central Committee and the State Council decided to transfer more than 500,000 cadres to strengthen the political and legal comprehensive management and economic supervision departments in the next two years. These cadres will mainly be transferred from the existing cadres. The General Office of the Central Committee and the General Office of the State Council notified all localities to do a good job in adjusting the cadre structure. The Organization Department of the Central Committee of the Communist Party of China and the Ministry of Labor and Personnel pointed out in the ""Opinions on Adjusting the Cadre Structure"" that in order to facilitate the adjustment of the cadre structure, all the cadres on the payroll who voluntarily work in the political and legal, taxation and other departments that need to be strengthened should be supported and released as long as the conditions are suitable and the flow is reasonable. It is necessary to strictly control the recruitment of cadres from the society. For some departments, if there are difficulties in adjusting and solving the problems from the grassroots units at or below the county level, a small number of cadres can be recruited from the society, but it must be carried out in accordance with the principle of adjustment first and then recruitment. The sources of the above-mentioned increase in cadres, those adjusted from party, government, mass organizations and some public institutions, shall not be less than 30% of the total number of cadres increased; those recruited from the society shall not exceed 20% of the total number of cadres increased. In order to control the growth of personnel in party and government organs, the professional economic management departments that have transferred out cadres will implement the policy of reducing staff and reducing the establishment. In particular, departments whose functions are changing should appropriately transfer more personnel and reduce the establishment. At the same time, the total salary and administrative expenses should be reduced accordingly. After the overstaffed units transfer out cadres, they will not be replaced."
1036,组织工作,"12日——24日 第六届全国人大常委会第二十三次会议在北京举行。彭真委员长主持了第一天的会议并讲话。会议学习和讨论了中国共产党第十三次全国代表大会文件,审议了几个法律草案和有关报告。",1987-11-12,1987-11-24,"From the 12th to the 24th, the 23rd meeting of the Standing Committee of the Sixth National People's Congress was held in Beijing. Chairman Peng Zhen presided over the first day of the meeting and delivered a speech. The meeting studied and discussed the documents of the 13th National Congress of the Communist Party of China, and reviewed several draft laws and related reports. The meeting decided to agree to Zhao Ziyang's resignation as Premier of the State Council, and to appoint Vice Premier Li Peng as Acting Premier of the State Council to exercise the powers of the Premier and lead the work of the State Council, and report to the First Session of the Seventh National People's Congress for confirmation. In view of the fact that Wang Zhaoguo has served as Acting Governor of Fujian Province, the plenary meeting decided to agree to Wang Zhaoguo's request to resign as a member of the Standing Committee of the Sixth National People's Congress in accordance with the relevant provisions of the Organic Law of the National People's Congress, and report it to the National People's Congress for record."
1036_appt,干部任免,"会议决定,同意赵紫阳辞去国务院总理职务,由国务院副总理李鹏任国务院代总理,行使总理职权,领导国务院的工作,报请七届全国人大一次会议确认。鉴于王兆国已担任福建省代省长,全体会议根据全国人民代表大会组织法有关规定,决定同意王兆国辞去六届全国人大常委会委员的请求,报全国人民代表大会备案。",1987-11-12,1987-11-24,"From the 12th to the 24th, the 23rd meeting of the Standing Committee of the Sixth National People's Congress was held in Beijing. Chairman Peng Zhen presided over the first day of the meeting and delivered a speech. The meeting studied and discussed the documents of the 13th National Congress of the Communist Party of China, and reviewed several draft laws and related reports. The meeting decided to agree to Zhao Ziyang's resignation as Premier of the State Council, and to appoint Vice Premier Li Peng as Acting Premier of the State Council to exercise the powers of the Premier and lead the work of the State Council, and report to the First Session of the Seventh National People's Congress for confirmation. In view of the fact that Wang Zhaoguo has served as Acting Governor of Fujian Province, the plenary meeting decided to agree to Wang Zhaoguo's request to resign as a member of the Standing Committee of the Sixth National People's Congress in accordance with the relevant provisions of the Organic Law of the National People's Congress, and report it to the National People's Congress for record."
1037,组织工作,14日 中国共产党第十三届中央委员会政治局举行第一次全体会议。讨论通过了《十三届中央政治局工作规则(试行)》、《十三届中央政治局常务委员会工作规则(试行)》、《十三届中央书记处工作规则(试行)》。会议讨论并同意中共中央党校《关于改革中央党校工作的报告》。,1987-11-14,1987-11-14,"On the 14th, the Political Bureau of the 13th Central Committee of the Communist Party of China held its first plenary session. The meeting discussed and passed the ""Working Rules of the 13th Central Political Bureau (Trial)"", ""Working Rules of the Standing Committee of the 13th Central Political Bureau (Trial)"", and ""Working Rules of the 13th Central Secretariat (Trial)"". The meeting discussed and agreed on the ""Report on the Reform of the Central Party School Work"" of the Central Party School. The meeting decided that Jiang Zemin would be the Secretary of the Shanghai Municipal Party Committee; Rui Xingwen was removed from the position of Secretary of the Shanghai Municipal Party Committee."
1037_appt,干部任免,会议决定江泽民任上海市委书记;免去芮杏文上海市委书记职务。,1987-11-14,1987-11-14,"On the 14th, the Political Bureau of the 13th Central Committee of the Communist Party of China held its first plenary session. The meeting discussed and passed the ""Working Rules of the 13th Central Political Bureau (Trial)"", ""Working Rules of the Standing Committee of the 13th Central Political Bureau (Trial)"", and ""Working Rules of the 13th Central Secretariat (Trial)"". The meeting discussed and agreed on the ""Report on the Reform of the Central Party School Work"" of the Central Party School. The meeting decided that Jiang Zemin would be the Secretary of the Shanghai Municipal Party Committee; Rui Xingwen was removed from the position of Secretary of the Shanghai Municipal Party Committee."
1038,干部任免,"21日 中共中央决定,杨尚昆兼任中央军委秘书长;洪学
智、刘华清任中央军委副秘书长;免去余秋里、杨得志、张爱萍
中央军委副秘书长职务;江泽民任上海市委书记;免去芮杏文上
海市委书记职务,到中央书记处工作。12月22日,中央同意江
泽民不再兼任上海市市长。",1987-11-21,1987-11-21,"On the 21st, the CPC Central Committee decided that Yang Shangkun would concurrently serve as the Secretary-General of the Central Military Commission; Hong Xuezhi and Liu Huaqing would serve as Deputy Secretaries-General of the Central Military Commission; Yu Qiuli, Yang Dezhi, and Zhang Aiping would be removed from their posts as Deputy Secretaries-General of the Central Military Commission; Jiang Zemin would serve as the Secretary of the Shanghai Municipal Committee; Rui Xingwen would be removed from his post as the Secretary of the Shanghai Municipal Committee and would work in the Central Secretariat. On December 22, the CPC Central Committee agreed that Jiang Zemin would no longer concurrently serve as the Mayor of Shanghai."
1039,干部任免,"23日 中共中央同意,免去顾启良司法部副部长职务;王
连铮不再担任黑龙江省副省长职务。",1987-11-23,1987-11-23,"On the 23rd, the CPC Central Committee agreed to remove Gu Qiliang from his post as deputy minister of the Ministry of Justice; Wang Lianzheng no longer served as deputy governor of Heilongjiang Province."
1040,干部任免,"24日 中共中央同意,韩伯平不再担任北京市副市长职
务。",1987-11-24,1987-11-24,"On the 24th, the CPC Central Committee agreed that Han Boping would no longer serve as the deputy mayor of Beijing."
1041,组织工作,"中央还决定,李鹏、吴学谦、秦基伟、钱李仁、朱良、钱其琛、郑拓彬、贾春旺为中央外事工作领导小组成员,李鹏任组长,吴学谦任副组长,姬鹏飞、朱穆之、陈楚任顾问。",1987-11-28,1987-11-28,"On the 28th, the People's Daily reported that with the approval of the CPC Central Committee, Chairman of the Central Military Commission Deng Xiaoping signed an order to appoint Chi Haotian as the Chief of the General Staff of the Chinese People's Liberation Army, Yang Baibing as the Director of the General Political Department of the Chinese People's Liberation Army, and Zhao Nanqi as the Minister of the General Logistics Department of the Chinese People's Liberation Army. The CPC Central Committee decided that Zhao Ziyang, Li Peng, Yao Yilin, Tian Jiyun, Zhang Jinfu, Du Runsheng, and An Zhiwen would be members of the Central Financial and Economic Leading Group, with Zhao Ziyang as the leader, Zhang Jinfu as the secretary-general, and Lv Dong, Du Xingyuan, Li Dongye, and Zhou Jiannan as consultants. The CPC Central Committee also decided that Li Peng, Wu Xueqian, Qin Jiwei, Qian Liren, Zhu Liang, Qian Qichen, Zheng Tuobin, and Jia Chunwang would be members of the Central Foreign Affairs Leading Group, with Li Peng as the leader, Wu Xueqian as the deputy leader, and Ji Pengfei, Zhu Muzhi, and Chen Chu as consultants."
1041_appt,干部任免,"28日 《人民日报》报道,经中共中央批准,中央军委主席邓小平签署命令,任命迟浩田为中国人民解放军总参谋长,杨白冰为中国人民解放军总政治部主任,赵南起为中国人民解放军总后勤部部长。中共中央决定,赵紫阳、李鹏、姚依林、田纪云、张劲夫、杜润生、安志文为中央财经领导小组成员,赵紫阳任组长,张劲夫为秘书长,吕东、杜星垣、李东冶、周建南为顾问。",1987-11-28,1987-11-28,"On the 28th, the People's Daily reported that with the approval of the CPC Central Committee, Chairman of the Central Military Commission Deng Xiaoping signed an order to appoint Chi Haotian as the Chief of the General Staff of the Chinese People's Liberation Army, Yang Baibing as the Director of the General Political Department of the Chinese People's Liberation Army, and Zhao Nanqi as the Minister of the General Logistics Department of the Chinese People's Liberation Army. The CPC Central Committee decided that Zhao Ziyang, Li Peng, Yao Yilin, Tian Jiyun, Zhang Jinfu, Du Runsheng, and An Zhiwen would be members of the Central Financial and Economic Leading Group, with Zhao Ziyang as the leader, Zhang Jinfu as the secretary-general, and Lv Dong, Du Xingyuan, Li Dongye, and Zhou Jiannan as consultants. The CPC Central Committee also decided that Li Peng, Wu Xueqian, Qin Jiwei, Qian Liren, Zhu Liang, Qian Qichen, Zheng Tuobin, and Jia Chunwang would be members of the Central Foreign Affairs Leading Group, with Li Peng as the leader, Wu Xueqian as the deputy leader, and Ji Pengfei, Zhu Muzhi, and Chen Chu as consultants."
1042,组织工作,"3日 中共中央决定,成立中共中央政治体制改革研究室,负责政治体制改革实施过程中的综合研究和协调工作,同时承担中央交办的有关问题的研究和文件起草工作。",1987-12-03,1987-12-03,"On the 3rd, the CPC Central Committee decided to establish the Political System Reform Research Office of the CPC Central Committee, which is responsible for comprehensive research and coordination in the implementation of political system reform, and is also responsible for research and document drafting on relevant issues assigned by the Central Committee. Bao Tong is the director, and Zhou Jie and He Guanghui are deputy directors."
1042_appt,干部任免,"鲍彤任主任,周杰、贺光辉任副主任。",1987-12-03,1987-12-03,"On the 3rd, the CPC Central Committee decided to establish the Political System Reform Research Office of the CPC Central Committee, which is responsible for comprehensive research and coordination in the implementation of political system reform, and is also responsible for research and document drafting on relevant issues assigned by the Central Committee. Bao Tong is the director, and Zhou Jie and He Guanghui are deputy directors."
1043,组织工作,"4日 《人民日报》报道,国务院颁布《关于进一步推进科
技体制改革的若干规定》,决定进一步改革科技人员管理制度,
放宽放活对科技人员的政策,为充分发挥科技人员的作用创造良
好的社会环境。国务院规定,科研机构要实行精简缩编。在近几
年内,一般不再新增机构,扩大编制,对现有科技人员要进行调
整,有进有出,新老交替,以形成一支精干的科技队伍。",1987-12-04,1987-12-04,"On the 4th, the People's Daily reported that the State Council promulgated the ""Several Provisions on Further Promoting the Reform of the Science and Technology System"", deciding to further reform the management system of scientific and technological personnel, relax and activate the policies on scientific and technological personnel, and create a good social environment for giving full play to the role of scientific and technological personnel. The State Council stipulates that scientific research institutions should implement streamlining and reduction. In recent years, generally no new institutions will be added, and the establishment will be expanded. Existing scientific and technological personnel will be adjusted, with some in and some out, and the old and the new will be replaced to form a capable scientific and technological team."
1044,组织工作,"5日 中共中央组织部发出《关于明年省级领导班子换届人
事安排工作几个问题的通知》。《通知》对1988年省级领导班子
换届中的党委、纪委、顾委配备职数作了规定。通知要求在明年
换届前,有条件的省(区、市),要对省级党委和政府领导班子
成员进行一次民主评议,对新进党委和政府领导班子的人进行一
次民主推荐。",1987-12-05,1987-12-05,"On the 5th, the Organization Department of the Central Committee of the Communist Party of China issued a ""Notice on Several Issues Regarding Personnel Arrangements for the Provincial Leadership Team Change of Term Next Year"". The ""Notice"" stipulated the number of positions for the Party Committee, Discipline Inspection Committee, and Advisory Committee in the provincial leadership team change of 1988. The notice required that before the change of term next year, provinces (autonomous regions and municipalities) with conditions should conduct a democratic evaluation of the members of the provincial party committee and government leadership team, and conduct a democratic recommendation of new members of the party committee and government leadership team."
1045,组织工作,"15日 中共中央组织部发出《关于抓紧解决整党中遗留的
组织处理问题的通知》。《通知》要求,对整党中因个人或其他原
因至今未获准党员登记的同志,要视其情况,尽快抓紧处理。
中共中央政治局委员、中央组织部部长宋平在听取关于干部
考核新方法研究和试点情况汇报时指出:党管干部就是要经常了
解干部的情况,这要有个制度,建立一个制度很重要,否则就是
一句空话。没有一个考核制度,干部干好干坏一个样。没有一个
形式,群众监督也是一句空话。我们长期以来靠组织部门考察了
解干部,上级领导参与,显得很神秘,现在用这个方法,干部工
作中的透明度也增加了。群众参与了考核工作,并向他们作了反
馈,这样做比较公正,干部本人也受到了监督。",1987-12-15,1987-12-15,"On the 15th, the Organization Department of the CPC Central Committee issued the ""Notice on Quickly Solving Organizational Handling Issues Left Over from the Party Rectification"". The ""Notice"" requires that comrades who have not been approved for party member registration due to personal or other reasons during the party rectification should be dealt with as soon as possible according to their circumstances. Song Ping, member of the Political Bureau of the CPC Central Committee and Minister of the Organization Department of the CPC Central Committee, pointed out when listening to the report on the research and pilot of the new method of cadre assessment: The party's management of cadres means that it must always understand the situation of cadres. This requires a system. It is very important to establish a system, otherwise it is just empty talk. Without an assessment system, cadres will be treated the same whether they do a good job or a bad job. Without a form, mass supervision is also empty talk. For a long time, we have relied on the organization department to investigate and understand cadres, and the superiors have participated, which seems very mysterious. Now with this method, the transparency of cadre work has also increased. The masses have participated in the assessment work and given them feedback. This is more fair and the cadres themselves are also supervised."
1046,组织工作,"16日 中共中央政治局在北京召开第二次全体会议,讨论
并原则同意关于党中央、国务院机构改革方案。会议决定,党中
央机构改革方案由中央书记处组织实施;国务院机构改革方案经
全国人民代表大会批准后,由国务院组织实施。",1987-12-16,1987-12-16,"On the 16th, the Political Bureau of the CPC Central Committee held its second plenary meeting in Beijing to discuss and agree in principle on the reform plan of the Party Central Committee and the State Council. The meeting decided that the reform plan of the Party Central Committee will be organized and implemented by the Central Secretariat; the reform plan of the State Council will be organized and implemented by the State Council after approval by the National People's Congress."
1047,干部任免,"17日 中共中央批准,王德兼任中央纪律检查委员会秘
书长;陈作霖不再兼任中央纪律检查委员会秘书长职务;徐瑞新
任中共中央办公厅副主任;同意金鉴任司法部副部长,免去其北
京市委副书记职务;免去贺敬之中共中央宣传部副部长职务;同
意张世尧、傅立民任商业部副部长,姜习、季不再担任商业部
副部长职务;同意包玉山任国家民族事务委员会副主任。",1987-12-17,1987-12-17,"On the 17th, the CPC Central Committee approved Wang De to concurrently serve as Secretary-General of the Central Commission for Discipline Inspection; Chen Zuolin no longer concurrently served as Secretary-General of the Central Commission for Discipline Inspection; Xu Ruixin was appointed as Deputy Director of the General Office of the CPC Central Committee; agreed to Jin Jian as Deputy Minister of the Ministry of Justice, and to remove him from his post as Deputy Secretary of the Beijing Municipal Committee; He Jingzhi was removed from his post as Deputy Minister of the Propaganda Department of the CPC Central Committee; agreed to Zhang Shiyao and Fu Limin as Deputy Ministers of the Ministry of Commerce, and Jiang Xi and Ji no longer served as Deputy Ministers of the Ministry of Commerce; agreed to Bao Yushan as Deputy Director of the State Ethnic Affairs Commission."
1048,干部任免,"20日 中共中央决定,张皓若任四川省委副书记,不再担
任对外经济贸易部副部长职务。",1987-12-20,1987-12-20,"On the 20th, the CPC Central Committee decided that Zhang Haoruo would serve as the deputy secretary of the Sichuan Provincial Party Committee and no longer serve as the deputy minister of the Ministry of Foreign Economic Relations and Trade."
1049,干部任免,"22日 中共中央决定,朱镕基任上海市委副书记,免去其
国家经济委员会副主任、党组副书记职务。",1987-12-22,1987-12-22,"On the 22nd, the CPC Central Committee decided that Zhu Rongji would be appointed as the deputy secretary of the Shanghai Municipal Committee and be relieved of his duties as deputy director of the State Economic Commission and deputy secretary of the Party Group."
1050,干部任免,"25日 中共中央同意,彭珮云(女)任国家计划生育委员
会主任,不再担任国家教育委员会副主任、中国科学技术大学党
委书记职务;王伟不再担任国家计划生育委员会主任、党组书
记。",1987-12-25,1987-12-25,"On the 25th, the CPC Central Committee agreed that Peng Peiyun (female) would serve as the director of the National Family Planning Commission and no longer serve as the deputy director of the State Education Commission and the party secretary of the University of Science and Technology of China; Wang Wei would no longer serve as the director and party group secretary of the National Family Planning Commission."
1051,干部任免,"26日 中共中央批准,顾金池任四川省委副书记,不再担
任四川省副省长职务。",1987-12-26,1987-12-26,"On the 26th, the CPC Central Committee approved Gu Jinchi to serve as the deputy secretary of the Sichuan Provincial Party Committee and no longer serve as the deputy governor of Sichuan Province."
1052,组织工作,"29日 中国共产党久经考验的忠诚的共产主义战士,无产
阶级革命家、卓越的军事家、军事教育家,第三届全国政协副主
席何长工,因病在北京逝世,终年87岁。",1987-12-29,1987-12-29,"On the 29th, He Changgong, a long-tested and loyal communist fighter of the Communist Party of China, a proletarian revolutionary, an outstanding military strategist, a military educator, and the vice chairman of the Third National Committee of the Chinese People's Political Consultative Conference, died of illness in Beijing at the age of 87."
1053,组织工作,"30日国务院代总理李鹏在国务院全体会议上的讲话中指
出,这次国务院机构改革同以往几次机构精简相比较,有以下几
个特点:第一,以转变职能为关键,按职能组建机构;第二,从
实际出发,同改革的总趋势相适应;第三,突出重点,区别对
待。",1987-12-30,1987-12-30,"On the 30th, Li Peng, Acting Premier of the State Council, pointed out in his speech at the plenary meeting of the State Council that this institutional reform of the State Council has the following characteristics compared with the previous institutional streamlining: First, the transformation of functions is the key, and institutions are established according to functions; second, it is based on reality and adapted to the general trend of reform; third, it highlights key points and treats them differently."
1054,组织工作,"31日据中央组织部统计,全国共有党员4775万名,全国
共有党的基层组织287.4万个。全国共有各类干部2903万名。",1987-12-31,1987-12-31,"According to statistics from the Central Organization Department on the 31st, there are 47.75 million party members nationwide, 2.874 million grassroots party organizations nationwide, and 29.03 million cadres of all kinds nationwide."
1055,组织工作,"1日 中共中央政治局常委、国务院总理李鹏在全国政协
举行的新年茶话会上致贺词时指出,今年首先要抓好三件事:
是稳定经济和深化改革;二是进行中央机关的机构改革;三是加
强社会主义民主政治和精神文明建设。",1988-01-01,1988-01-01,"On the 1st, Li Peng, member of the Standing Committee of the Political Bureau of the CPC Central Committee and Premier of the State Council, delivered a congratulatory speech at the New Year Tea Party held by the National Committee of the Chinese People's Political Consultative Conference, pointing out that the first thing to do this year is to stabilize the economy and deepen reform; the second is to carry out institutional reform of the central government; and the third is to strengthen socialist democratic politics and spiritual civilization."
1056,组织工作,"6日 中共中央政治局委员、中共中央组织部部长宋平在会
见借调到中央书记处农村政策研究室工作的中青年干部时指出:
有组织、有计划地选调一些有基层工作经验的同志到上级综合部
门工作一段时间,让缺乏基层工作经验的同志下到基层工作一段˙
时间,是我们熟悉干部、培养干部的一种好形式。希望各地结合
自己的条件,把培养中青年干部的工作切实抓紧抓好,为他们的
成长创造条件。培养干部的形式很多,到党校学习,上下交流,
到职能部门工作一段时间等,都会有很大好处。他还指出,各级
领导干部,不管做什么工作,都要关心党的建设,党员的教育,
党员的思想工作。领导干部下去,既要看专业户,更要看党支
部。",1988-01-06,1988-01-06,"On the 6th, Song Ping, member of the Political Bureau of the CPC Central Committee and Minister of the Organization Department of the CPC Central Committee, pointed out at a meeting with young and middle-aged cadres seconded to the Rural Policy Research Office of the Central Secretariat: Organizing and planning to select some comrades with grassroots work experience to work in the superior comprehensive departments for a period of time, and letting comrades who lack grassroots work experience go to the grassroots to work for a period of time, is a good way for us to get familiar with cadres and train cadres. It is hoped that all localities will combine their own conditions to earnestly grasp the work of training young and middle-aged cadres and create conditions for their growth. There are many ways to train cadres, such as studying at party schools, communicating with each other, and working in functional departments for a period of time, which will be of great benefit. He also pointed out that leading cadres at all levels, no matter what work they do, must care about party building, party member education, and party member ideological work. When leading cadres go down, they should not only look at professional households, but also party branches."
1057,组织工作,"7日 中共中央决定,中央书记处农村政策研究室改为中共
中央农村政策研究室,职能是调查研究,为中共中央制定农村政
策、农村发展战略和深化农村体制改革提供咨询服务。",1988-01-07,1988-01-07,"On the 7th, the CPC Central Committee decided to change the Rural Policy Research Office of the Central Secretariat to the Rural Policy Research Office of the CPC Central Committee, whose functions are to conduct investigations and research and provide consulting services for the CPC Central Committee to formulate rural policies, rural development strategies and deepen rural system reforms."
1058,组织工作,"8日 中共中央组织部、劳动人事部发出《关于审批党政机
关干部在企业兼职有关问题的通知》。《通知》规定:除少数由国
务院批准的以外,党政机关干部,包括退居二线的干部,一律不
得到各类企业兼任职务;目前仍兼职的,要严格按照中共中央
1986年6号文件精神,尽快辞去在企业的兼职,否则,必须辞
去党政机关的职务。今后凡报请去企业兼职的,一律不予审批。",1988-01-08,1988-01-08,"On the 8th, the Organization Department of the CPC Central Committee and the Ministry of Labor and Personnel issued the ""Notice on the Approval of Party and Government Officials' Part-time Jobs in Enterprises"". The ""Notice"" stipulates that except for a few approved by the State Council, party and government officials, including those who have retired to the second line, are not allowed to hold part-time positions in various enterprises; those who are still holding part-time jobs must strictly follow the spirit of the CPC Central Committee's Document No. 6 of 1986 and resign from their part-time jobs in enterprises as soon as possible, otherwise they must resign from their positions in party and government agencies. In the future, all applications for part-time jobs in enterprises will not be approved."
1059,组织工作,"9日 中共中央政治局在北京召开第三次全体会议,讨论并
原则同意修改后的《中华人民共和国全民所有制工业企业法(草
案)》。会议提议,由国务院将这个草案提请全国人民代表大会常
务委员会审议。",1988-01-09,1988-01-09,"On the 9th, the Political Bureau of the CPC Central Committee held its third plenary session in Beijing to discuss and agree in principle on the revised ""Law of the People's Republic of China on Industrial Enterprises Owned by the Whole People (Draft)"". The meeting proposed that the State Council submit the draft to the Standing Committee of the National People's Congress for deliberation."
1060,组织工作,"10日 中共中央决定,中共中央宣传思想工作领导小组成
员有:胡启立、芮杏文、鲍彤、温家宝、王忍之、钱李仁、朱穆
之。组长胡启立,副组长芮杏文。该小组的工作任务主要是,经
常分析意识形态领域的动态,研究和掌握宣传工作的方针、政策
及其它带有全局性的问题;协调宣传、理论、文化、新闻、出版
等部门有关意识形态方面的工作;对宣传、理论队伍的建设提出
意见和建议。",1988-01-10,1988-01-10,"On the 10th, the CPC Central Committee decided that the members of the CPC Central Committee Propaganda and Ideological Work Leading Group were: Hu Qili, Rui Xingwen, Bao Tong, Wen Jiabao, Wang Renzhi, Qian Liren, and Zhu Muzhi. The group leader was Hu Qili, and the deputy group leader was Rui Xingwen. The main tasks of the group were to regularly analyze the dynamics of the ideological field, study and master the principles and policies of propaganda work and other issues with overall significance; coordinate the ideological work of the propaganda, theory, culture, news, publishing and other departments; and put forward opinions and suggestions on the construction of the propaganda and theory team."
1061,组织工作,"12日 《人民日报》报道,最近,中共中央组织部负责人
就培养选拔妇女干部问题回答《中国妇女》杂志记者问,指出培
养选拔妇女干部,是全党的一项重要任务,在改革开放中要重视
培养选拔妇女干部。",1988-01-12,1988-01-12,"On the 12th, the People's Daily reported that recently, the head of the Organization Department of the Central Committee of the Communist Party of China answered questions from reporters of the China Women magazine on the issue of training and selecting women cadres, pointing out that training and selecting women cadres is an important task for the whole party and that it is important to pay attention to training and selecting women cadres during reform and opening up."
1062,组织工作,"中共中央政治局委员、中共中央组织部部长宋平与第三期省部级领导干部读书班和组干班学员进行座谈。指出要加强党的建设,维护党的崇高威望,首先每个党员自己心目中要有党的观念。不能认为党政分开以后,党就是只管党的组织,别的事不管了。经济体制改革,政治体制改革,都是我们党提出来的。党政分开不是削弱党的领导,而是要加强党的领导,改善党的领导。解决党政分开中出现的思想认识和实际问题,光靠愿望不行,要靠我们多做工作,使每个党员领导干部和党员,在任何时候都要·想着我们党。他还强调,组织部门的干部,除了研究本身的业务之外,还要懂得一点经济。要很好地了解改革开放的实际情况。我们常说,判断一个干部要看他的实绩,而要正确分析和看待干部的实绩,在组织部门工作的同志自己必须懂得这个实绩,这样才能有一个正确的判断。每一个在组织部门工作的干部,都要关心经济建设的全局,了解经济体制改革和政治体制改革的全局,保持清醒的头脑,使组织工作更好地为党在社会主义初级阶段的基本路线服务。",1988-01-20,1988-01-20,"On the 20th, the CPC Central Committee decided that Zhao Zongnai would be appointed as the Deputy Minister of the Organization Department of the CPC Central Committee and he was relieved of his post as the Deputy Secretary of the CPC Central Committee Directly Affiliated Organs Committee. Song Ping, member of the Political Bureau of the CPC Central Committee and Minister of the Organization Department of the CPC Central Committee, held a discussion with the students of the third provincial and ministerial level leading cadres reading class and the group cadre class. He pointed out that in order to strengthen the party's construction and maintain the party's lofty prestige, each party member must first have the concept of the party in his mind. It cannot be assumed that after the separation of the party and the government, the party will only manage the party organization and not other things. Economic system reform and political system reform were both proposed by our party. The separation of the party and the government is not to weaken the party's leadership, but to strengthen and improve the party's leadership. To solve the ideological understanding and practical problems arising from the separation of the party and the government, it is not enough to rely on wishes alone. We must do more work to make every party member, leading cadre and party member think about our party at all times. He also emphasized that the cadres of the organization department, in addition to studying their own business, should also understand a little about economics. We must have a good understanding of the actual situation of reform and opening up. We often say that to judge a cadre, one must look at his performance, and to correctly analyze and view the performance of cadres, comrades working in the organization department must understand this performance, so that they can make a correct judgment. Every cadre working in the organization department must care about the overall situation of economic construction, understand the overall situation of economic system reform and political system reform, keep a clear mind, and make organizational work better serve the party's basic line in the primary stage of socialism."
